timestamp,water_level,boxdrain_cong1,valveoverflow_tran1,valveoverflow_tran2,valveoverflow_tran3,pump_01
2014-01-01,25,0,0,0,0,12
2014-01-02,25,0,0,0,0,12
2014-01-03,25,0,0,0,0,12
2014-01-04,25,0,0,0,0,12
2014-01-05,25,0,0,0,0,12
2014-01-06,24.99,1,0,0,0,12
2014-01-07,24.99,1,0,0,0,12
2014-01-08,24.98,1,0,0,0,12
2014-01-09,24.98,1,0,0,0,12
2014-01-10,24.97,1,0,0,0,12
2014-01-11,24.97,1,0,0,0,12
2014-01-12,24.96,1,0,0,0,12
2014-01-13,24.96,1,0,0,0,12
2014-01-14,24.95,1,0,0,0,12
2014-01-15,24.94,2,0,0,0,12
2014-01-16,24.93,2,0,0,0,12
2014-01-17,24.91,2,0,0,0,12
2014-01-18,24.9,2,0,0,0,12
2014-01-19,24.89,2,0,0,0,12
2014-01-20,24.87,2,0,0,0,12
2014-01-21,24.85,1,0,0,0,12
2014-01-22,24.84,1,0,0,0,12
2014-01-23,24.83,1,0,0,0,12
2014-01-24,24.82,1,0,0,0,12
2014-01-25,24.81,1,0,0,0,12
2014-01-26,24.8,1,0,0,0,12
2014-01-27,24.79,1,0,0,0,12
2014-01-28,24.78,1,0,0,0,12
2014-01-29,24.76,1,0,0,0,12
2014-01-30,24.75,1,0,0,0,12
2014-01-31,24.74,1,0,0,0,12
